"Attr1"	"Attr2"	"Attr3"	"Attr4"	"Attr5"	"Attr6"	"Attr7"	"Attr8"	"Attr9"	"Attr10"	"Attr11"	"Attr12"	"Attr13"	"Attr14"	"Attr15"	"Attr16"	"Attr17"	"Attr18"	"Attr19"	"Attr20"	"Attr21"	"Attr22"	"Attr23"	"Attr24"	"Attr25"	"Attr26"	"Attr27"	"Attr28"	"Attr29"	"Attr30"	"Attr31"	"Attr32"	"Attr33"	"Attr34"	"Attr35"	"Attr36"	"Attr37"	"Attr38"	"Attr39"	"Attr40"	"Attr41"	"Attr42"	"Attr43"	"Attr44"	"Attr45"	"Attr46"	"Attr47"	"Attr48"	"Attr49"	"Attr50"	"Attr51"	"Attr52"	"Attr53"	"Attr54"	"Attr55"	"Attr56"	"Attr57"	"Attr58"	"Attr59"	"Attr60"	"Attr61"	"Attr62"	"Attr63"	"Attr64"	"class"
-0.024818	0.71357	0.011494	1.0171	-50.63	0.026313	-0.026041	0.33538	1.0071	0.23932	-0.026041	-0.038678	0.000346	-0.026041	488390	0.000747	1.4014	-0.026041	-0.016883	41.188	1.3114	0.007945	-0.01609	0.038966	0.23932	0.002462	0.051874	0.036464	4.4546	0.45981	-0.016883	160.44	2.2749	0.011135	0.007945	1.57	12.674	0.27961	0.005151	0.079354	0.67961	0.005151	149.4	108.21	-0.14258	0.75854	41.479	-0.018629	-0.012077	0.95964	0.67328	0.43957	0.75919	0.88702	327.4	0.007014	-0.1037	0.99299	0.16838	8.8617	3.3731	159.32	2.291	4.8932	FALSE
0.034863	0.84016	0.034027	1.044	-46.524	0.039624	0.045527	0.14549	1.0778	0.12223	0.045527	0.05883	0.045734	0.045527	4383.7	0.083262	1.1903	0.045527	0.029764	29.038	1.0181	0.11682	0.022792	0.055141	0.12223	0.070569	0.82314	0.17713	4.5954	0.5408	0.029764	199.03	1.8339	0.13904	0.11682	1.5535	10.353	0.18852	0.076373	0.13638	0.19556	0.076373	167.6	138.56	0.28649	0.88672	31.297	0.092392	0.060403	0.96161	0.77387	0.5453	0.6363	0.98135	1340.4	0.072177	0.28522	0.92782	0.54227	12.57	2.6342	184.67	1.9765	7.9625	FALSE
3.6e-05	0.24753	-0.074702	0.67349	-172.22	0	0.000496	3.0399	0.32119	0.75247	0.002891	0.002167	0.035661	0.000496	7888.1	0.046272	4.0399	0.000496	0.001544	87.828	1.1797	-0.005074	0.000111	0.009905	0.65259	0.044412	-2.1185	-0.08831	4.4105	0.73203	0.009001	252.42	1.446	1.3365	-0.009641	0.32119	4.1279	0.77107	-0.030015	0.058794	1.4023	-0.015797	159.81	71.987	0.00046	0.33567	85.269	-0.016032	-0.049914	0.62248	0.22879	0.69155	0.88953	0.91152	-1922.2	-0.030015	4.7e-05	0.99852	0.024725	4.1558	5.0704	259.99	1.4039	0.3797	FALSE
0.13143	0.42451	0.35183	2.1058	17.183	-0.021353	0.16437	1.3556	2.4724	0.57549	0.18281	0.51661	0.066484	0.16437	942.65	0.38721	2.3556	0.16437	0.066484	35.602	1.0756	0.18464	0.053159	0.30533	0.33737	0.3096	1.8515	1.0662	4.9195	0.16758	0.066484	55.809	7.2159	5.4085	0.19502	2.5601	8.8651	0.62386	0.078879	0.035409	0.076636	0.074682	97.251	61.649	0.545	0.79333	38.338	0.18464	0.074682	1.5783	0.31818	0.13858	1.744	1.8906	29230	0.15833	0.22838	0.8201	0.08406	10.252	5.9206	46.973	7.7704	7.4927	TRUE
0.0051316	0.33327	0.15822	1.6124	5.195	0.011155	0.0068089	1.5675	0.99607	0.5224	0.0068089	0.026353	0.025884	0.0068089	1799.9	0.20279	3.0006	0.0068089	0.0026077	15.469	1.079	0.0044237	0.0019653	0.016426	0.5224	0.19776	0.016875	0.27121	4.3044	0.072699	0.0026077	35.976	10.146	0.013273	0.0044237	2.646	4.0849	0.59729	0.0016942	0.59628	0.16805	0.0016942	36.699	21.231	0.046374	1.1841	15.408	-0.056352	-0.021582	1.25	0.25838	0.098565	0.89544	1.0238	3189.4	-0.0039493	0.0098231	1.0039	0.14337	23.596	17.192	36.118	10.106	4.4756	FALSE
0.0059324	0.84593	0.16207	1.2059	-20.577	0.087916	0.0083482	0.17223	1.0188	0.1457	0.0083482	0.010607	0.0028477	0.0083482	31936	0.011429	1.1821	0.0083482	0.0024589	36.179	1.1938	0.060525	0.0017473	0.11076	0.1457	0.0085734	0.18161	3.184	5.2208	0.21046	0.0024589	86.198	4.2344	0.071549	0.060525	3.4068	10.4	0.20459	0.017827	0.18721	0.44969	0.017827	86.195	50.015	0.017628	0.77832	36.858	0.059205	0.017438	1.122	0.78703	0.23616	2.8623	4.0195	26945	0.018406	0.040718	0.98159	0.40426	10.089	7.2978	84.611	4.3138	66.701	FALSE
0.052317	0.26519	0.19324	2.1822	4.599	0.31674	0.069508	2.7405	1.0436	0.72676	0.069508	0.42526	0.12356	0.069508	560.53	0.65117	3.7709	0.069508	0.049737	45.079	0.87631	0.080933	0.037435	0.40079	0.72676	0.58635	0.60439	0.30037	4.3865	0.17184	0.049737	44.552	8.1928	0.30519	0.080933	1.4279	1.8093	0.8285	0.057912	0.18282	0.047355	0.057912	85.353	40.274	0.30311	1.1263	47.046	-0.022243	-0.015916	1.345	0.16345	0.12206	1.1297	1.2879	4705.2	0.041815	0.071986	0.95819	0.13999	8.0969	9.0629	42.689	8.5503	2.1724	FALSE
-0.027384	0.62517	-0.024725	0.9553	-268.33	0.012241	-0.027018	0.59956	0.45551	0.37483	0.014257	-0.048843	-0.059314	-0.027018	-8445.7	-0.043217	1.5996	-0.027018	-0.059314	58.079	0.73232	0.010435	-0.060117	0.0068127	0.0475	-0.043802	0.25282	-0.052431	4.9556	1.3725	0.0019698	1191	0.3553	0.31437	0.031139	0.45551	8.2139	0.43034	0.068361	0.089096	1.997	0.022909	383.94	325.86	-0.37781	0.0019698	134.61	0.010435	0.022909	0.84526	0.55316	2.8145	0.79486	0.91257	-2232	0.62785	-0.073056	0.52208	0.14809	6.2846	1.1201	443.25	0.82347	0.96594	TRUE
-0.17468	0.44379	0.26827	2.7728	98.34	0	-0.17468	1.2533	0.74377	0.55621	-0.16008	-1.1544	-0.011852	-0.17468	-18376	-0.019862	2.2533	-0.17468	-0.23486	25.261	0.836	-0.17264	-0.23486	-0.23774	-0.086683	-0.019862	-11.821	0.46222	4.0669	0.38259	-0.21641	58.321	6.2585	2.134	-0.20329	0.74377	3.1309	0.67378	-0.27332	1.0748	-2.1828	-0.23212	126.1	100.84	-3.3935	2.4327	19.839	-0.33851	-0.45513	0.94547	0.15132	0.15978	0.95831	1.1609	3129.7	-0.27332	-0.31406	1.2151	0.21139	14.449	3.6196	74.261	4.9151	1.2815	FALSE
0	0.38766	0.43904	3.1237	16.584	0.44594	0.12448	1.5795	0.79155	0.61234	0.15175	0.60216	0.15727	0.12448	1136.7	0.32111	2.5795	0.12448	0.15727	53.614	0.99333	0.12502	0	0.77283	0.55123	0	4.5855	1.2394	4.9639	0.39951	0.15727	155.99	2.3413	1.2485	0.12424	0.79155	2.9265	0.79327	0.15696	1.799	0.10336	0.15794	126.28	72.669	0	2.5613	87.679	0.12502	0.15794	1.6658	0.20673	0.42712	1.7286	2.2394	40404	0.38888	0	0.64592	0.29548	6.8079	5.0228	95.327	3.8289	2.2346	TRUE
